    DEQWEC,       Fe2, 3,       O15, 2.095, 0.410
    DEQWEC,       Fe2, 3,        O8, 2.001, 0.528
    DEQWEC,       Fe2, 3,        O6, 1.984, 0.553
    DEQWEC,       Fe2, 3,        O5, 2.028, 0.491
    DEQWEC,       Fe2, 3,        O3, 1.989, 0.546
    DEQWEC,       Fe2, 3,        O1, 1.901, 0.692
    DEQWEC,       Fe1, 3,       O14, 2.082, 0.425
    DEQWEC,       Fe1, 3,       O12, 2.013, 0.512
    DEQWEC,       Fe1, 3,       O10, 2.012, 0.513
    DEQWEC,       Fe1, 3,        O4, 2.023, 0.498
    DEQWEC,       Fe1, 3,        O2, 1.999, 0.531
    DEQWEC,       Fe1, 3,        O1, 1.909, 0.678
    MUFHEA,      Fe1B, 3,       N1B, 1.909, 0.776
    MUFHEA,      Fe1B, 3,      Cl2B, 2.228, 0.689
    MUFHEA,      Fe1B, 3,      Cl1B, 2.223, 0.698
    MUFHEA,      Fe1B, 3,        N1, 1.922, 0.749
  KAJCIH10,       Fe1, 3,        O2, 2.023, 0.498
  KAJCIH10,       Fe1, 3,        O6, 1.911, 0.674
  KAJCIH10,       Fe1, 3,        N1, 2.157, 0.397
  KAJCIH10,       Fe1, 3,        O5, 1.916, 0.665
  KAJCIH10,       Fe1, 3,        N2, 2.103, 0.459
  KAJCIH10,       Fe1, 3,        O1, 2.106, 0.398
    AYOYIW,      Fe1D, 3,      Cl1D, 2.207, 0.729
    AYOYIW,      Fe1D, 3,      Cl2D, 2.227, 0.691
    AYOYIW,      Fe1D, 3,       O2D, 1.987, 0.549
    AYOYIW,      Fe1D, 3,       N1D, 2.085, 0.482
    AYOYIW,      Fe1D, 3,        O2, 2.014, 0.510
    VIPTIZ,       Fe1, 3,       Br2, 2.465, 0.575
    VIPTIZ,       Fe1, 3,       N3F, 2.068, 0.505
    VIPTIZ,       Fe1, 3,       Br1, 2.512, 0.506
    VIPTIZ,       Fe1, 3,        N1, 2.188, 0.365
    VIPTIZ,       Fe1, 3,        N2, 2.070, 0.502
    VIPTIZ,       Fe1, 3,       N4F, 2.183, 0.370
    FUFKEW,       Fe1, 3,        N1, 2.097, 0.467
    FUFKEW,       Fe1, 3,        N2, 2.039, 0.546
    FUFKEW,       Fe1, 3,        N3, 2.100, 0.463
    FUFKEW,       Fe1, 3,        N4, 2.043, 0.540
    FUFKEW,       Fe1, 3,        O1, 1.758, 1.019
    NEQRAC,       Fe1, 3,       N10, 1.973, 0.652
    NEQRAC,       Fe1, 3,        N1, 2.233, 0.323
    NEQRAC,       Fe1, 3,        N2, 2.266, 0.296
    NEQRAC,       Fe1, 3,        N3, 2.225, 0.330
    NEQRAC,       Fe1, 3,        N4, 1.979, 0.642
    NEQRAC,       Fe1, 3,        N7, 2.050, 0.530
    NEQRAC,      Fe1A, 3,      N10A, 1.973, 0.652
    NEQRAC,      Fe1A, 3,       N3A, 2.225, 0.330
    NEQRAC,      Fe1A, 3,       N2A, 2.266, 0.296
    NEQRAC,      Fe1A, 3,       N1A, 2.233, 0.323
    NEQRAC,      Fe1A, 3,       N7A, 2.050, 0.530
    NEQRAC,      Fe1A, 3,       N4A, 1.979, 0.642
    AZOQOV,       Fe1, 3,       O13, 2.001, 0.528
    AZOQOV,       Fe1, 3,       O24, 2.038, 0.478
    AZOQOV,       Fe1, 3,       O22, 1.956, 0.597
    AZOQOV,       Fe1, 3,        O7, 2.091, 0.414
    AZOQOV,       Fe1, 3,        O6, 2.114, 0.389
    AZOQOV,       Fe1, 3,        O2, 1.916, 0.665
    AZOQOV,       Fe2, 3,       O14, 2.111, 0.393
    AZOQOV,       Fe2, 3,       O25, 2.071, 0.437
    AZOQOV,       Fe2, 3,        O6, 2.061, 0.449
    AZOQOV,       Fe2, 3,        O5, 1.946, 0.613
    AZOQOV,       Fe2, 3,        O2, 1.932, 0.637
    AZOQOV,       Fe2, 3,        O1, 2.078, 0.429
    AZOQOV,       Fe3, 3,       O38, 1.997, 0.534
    AZOQOV,       Fe3, 3,       O12, 1.922, 0.654
    AZOQOV,       Fe3, 3,       O23, 2.030, 0.489
    AZOQOV,       Fe3, 3,        O7, 2.133, 0.370
    AZOQOV,       Fe3, 3,       O40, 1.959, 0.592
    AZOQOV,       Fe3, 3,        O6, 2.088, 0.418
    CAJKAB,       Fe2, 3,       O16, 2.038, 0.478
    CAJKAB,       Fe2, 3,        O7, 2.125, 0.378
    CAJKAB,       Fe2, 3,       O3A, 1.910, 0.676
    CAJKAB,       Fe2, 3,        O5, 2.023, 0.498
    CAJKAB,       Fe2, 3,        O2, 1.945, 0.615
    CAJKAB,       Fe2, 3,        O1, 2.079, 0.428
    CAJKAB,       Fe3, 3,       O17, 2.042, 0.473
